date;ipsrc;ipdst;proto;portdst;ruleid;action;interin;interout
2022-03-07 18:22:52;192.168.0.40;192.168.0.33;TCP;22;35;Deny;IN;
2022-03-07 18:22:53;192.168.0.40;192.168.0.33;TCP;22;35;Deny;IN;
2022-03-07 18:22:54;192.168.0.40;192.168.0.33;TCP;22;35;Deny;IN;
2022-03-07 18:22:55;192.168.0.40;192.168.0.33;TCP;22;35;Deny;IN;
2022-03-07 18:22:56;192.168.0.40;192.168.0.33;TCP;22;35;Deny;IN;
2022-03-07 18:22:57;192.168.0.40;192.168.0.33;TCP;22;35;Deny;IN;
2022-03-07 18:22:57;192.168.0.37;192.168.0.255;UDP;138;5;Permit;IN;
2022-03-07 18:22:58;192.168.0.40;192.168.0.33;TCP;22;35;Deny;IN;
2022-03-07 18:22:59;192.168.0.40;192.168.0.33;TCP;22;35;Deny;IN;
2022-03-07 18:23:00;192.168.0.40;192.168.0.33;TCP;22;35;Deny;IN;
2022-03-07 18:23:01;192.168.0.40;192.168.0.33;TCP;22;35;Deny;IN;
2022-03-07 18:23:01;192.168.0.40;192.168.0.33;TCP;20;3;Permit;IN;
2022-03-07 18:23:01;192.168.0.40;192.168.0.33;TCP;8080;8;Permit;IN;
2022-03-07 18:23:01;192.168.0.40;192.168.0.33;TCP;443;7;Permit;IN;
2022-03-07 18:23:01;192.168.0.40;192.168.0.33;TCP;80;4;Permit;IN;
2022-03-07 18:23:01;192.168.0.40;192.168.0.33;TCP;445;6;Permit;IN;
2022-03-07 18:23:01;192.168.0.40;192.168.0.33;TCP;80;4;Permit;IN;
2022-03-07 18:23:01;192.168.0.40;192.168.0.33;TCP;21;3;Permit;IN;
2022-03-07 18:23:01;192.168.0.40;192.168.0.33;TCP;80;4;Permit;IN;
2022-03-07 18:23:01;192.168.0.40;192.168.0.33;TCP;21;3;Permit;IN;
2022-03-07 18:23:01;192.168.0.40;192.168.0.33;TCP;80;4;Permit;IN;
2022-03-07 18:23:01;192.168.0.40;192.168.0.33;TCP;21;3;Permit;IN;
2022-03-07 18:23:01;192.168.0.40;192.168.0.33;TCP;21;3;Permit;IN;
2022-03-07 18:23:02;192.168.0.40;192.168.0.33;TCP;22;35;Deny;IN;
2022-03-07 18:23:03;192.168.0.40;192.168.0.33;TCP;22;35;Deny;IN;
2022-03-07 18:23:05;192.168.0.40;192.168.0.33;TCP;22;35;Deny;IN;
2022-03-07 18:23:05;192.168.0.40;192.168.0.33;TCP;22;35;Deny;IN;
2022-03-07 18:23:06;192.168.0.40;192.168.0.33;TCP;22;35;Deny;IN;
2022-03-07 18:23:07;192.168.0.40;192.168.0.33;TCP;22;35;Deny;IN;
2022-03-07 18:23:08;192.168.0.40;192.168.0.33;TCP;22;35;Deny;IN;
2022-03-07 18:23:09;192.168.0.40;192.168.0.33;TCP;22;35;Deny;IN;
2022-03-07 18:23:10;192.168.0.40;192.168.0.33;TCP;22;35;Deny;IN;
2022-03-07 18:23:11;192.168.0.40;192.168.0.33;TCP;22;35;Deny;IN;
2022-03-07 18:23:12;192.168.0.40;192.168.0.33;TCP;22;35;Deny;IN;
2022-03-07 18:23:13;192.168.0.40;192.168.0.33;TCP;22;35;Deny;IN;
2022-03-07 18:23:14;192.168.0.40;192.168.0.33;TCP;22;35;Deny;IN;
2022-03-07 18:23:16;192.168.0.40;192.168.0.33;TCP;22;35;Deny;IN;
2022-03-07 18:23:16;192.168.0.40;192.168.0.33;TCP;22;35;Deny;IN;
2022-03-07 18:23:17;192.168.0.40;192.168.0.33;TCP;22;35;Deny;IN;
2022-03-07 18:23:18;192.168.0.40;192.168.0.33;TCP;22;35;Deny;IN;
2022-03-07 18:23:19;192.168.0.40;192.168.0.33;TCP;22;35;Deny;IN;
2022-03-07 18:23:20;192.168.0.40;192.168.0.33;TCP;22;35;Deny;IN;
2022-03-07 18:23:21;192.168.0.40;192.168.0.33;TCP;22;35;Deny;IN;
2022-03-07 18:23:22;192.168.0.40;192.168.0.33;TCP;22;35;Deny;IN;
2022-03-07 18:23:23;192.168.0.40;192.168.0.33;TCP;22;35;Deny;IN;
2022-03-07 18:23:24;192.168.0.40;192.168.0.33;TCP;22;35;Deny;IN;
2022-03-07 18:23:25;192.168.0.40;192.168.0.33;TCP;22;35;Deny;IN;
2022-03-07 18:23:26;192.168.0.40;192.168.0.33;TCP;22;35;Deny;IN;
2022-03-07 18:23:28;192.168.0.40;192.168.0.33;TCP;22;35;Deny;IN;
2022-03-07 18:23:28;192.168.0.40;192.168.0.33;TCP;22;35;Deny;IN;
2022-03-07 18:23:29;192.168.0.40;192.168.0.33;TCP;22;35;Deny;IN;
2022-03-07 18:23:30;192.168.0.40;192.168.0.33;TCP;22;35;Deny;IN;
2022-03-07 18:23:31;192.168.0.40;192.168.0.33;TCP;22;35;Deny;IN;
2022-03-07 18:23:32;192.168.0.40;192.168.0.33;TCP;22;35;Deny;IN;
2022-03-07 18:23:33;192.168.0.40;192.168.0.33;TCP;22;35;Deny;IN;
2022-03-07 18:23:34;192.168.0.40;192.168.0.33;TCP;22;35;Deny;IN;
2022-03-07 18:23:35;192.168.0.40;192.168.0.33;TCP;22;35;Deny;IN;
2022-03-07 18:23:36;192.168.0.40;192.168.0.33;TCP;22;35;Deny;IN;
